PanGemGeneID,MSK51,MSK2390
CPAR2_700010,1,1
CPAR2_700020,1,1
CPAR2_700030,1,1
CPAR2_700040,1,1
CPAR2_700050,1,1
CPAR2_700060,1,1
CPAR2_700070,1,1
CPAR2_700080,1,1
CPAR2_700090,1,1
CPAR2_700100,1,1
CPAR2_700110,1,1
CPAR2_700120,1,1
CPAR2_700130,1,1
CPAR2_700140,1,1
CPAR2_700150,1,1
CPAR2_700160,1,1
CPAR2_700170,1,1
CPAR2_700180,1,1
CPAR2_700190,1,1
CPAR2_700200,1,1
CPAR2_700210,1,1
CPAR2_700220,1,1
CPAR2_700230,1,1
CPAR2_700240,1,1
CPAR2_700250,1,1
CPAR2_700260,1,1
CPAR2_700270,1,1
CPAR2_700280,1,1
CPAR2_700290,1,1
CPAR2_700300,1,1
CPAR2_700310,1,1
CPAR2_700320,1,1
CPAR2_700330,1,1
CPAR2_700340,1,1
CPAR2_700350,1,1
CPAR2_700360,1,1
CPAR2_700370,1,1
CPAR2_700380,0,0
CPAR2_700390,1,1
CPAR2_700400,1,1
CPAR2_700410,1,1
CPAR2_700420,1,1
CPAR2_700430,1,1
CPAR2_700440,1,1
CPAR2_700450,1,1
CPAR2_700460,1,1
CPAR2_700470,1,1
CPAR2_700480,1,1
CPAR2_700490,1,1
CPAR2_700500,1,1
CPAR2_700510,1,1
CPAR2_700520,1,1
CPAR2_700530,1,1
CPAR2_700540,1,1
CPAR2_700550,1,1
CPAR2_700560,1,1
CPAR2_700570,1,1
CPAR2_700580,1,1
CPAR2_700590,1,1
CPAR2_700600,1,1
CPAR2_700610,1,1
CPAR2_700620,1,1
CPAR2_700630,1,1
CPAR2_700640,1,1
CPAR2_700650,1,1
CPAR2_700660,1,1
CPAR2_700670,1,1
CPAR2_700680,1,1
CPAR2_700690,1,1
CPAR2_700700,1,1
CPAR2_700710,1,1
CPAR2_700720,1,1
CPAR2_700730,1,1
CPAR2_700740,1,1
CPAR2_700750,1,1
CPAR2_700760,1,1
CPAR2_700770,1,1
CPAR2_700780,1,1
CPAR2_700790,1,1
CPAR2_700800,1,1
CPAR2_700810,1,1
CPAR2_700820,1,1
CPAR2_700830,1,1
CPAR2_700840,1,1
CPAR2_700850,1,1
CPAR2_700860,1,1
CPAR2_700870,1,1
CPAR2_700880,1,1
CPAR2_700890,1,1
CPAR2_700900,1,1
CPAR2_700910,1,1
CPAR2_700920,1,1
CPAR2_700930,1,1
CPAR2_700940,1,1
CPAR2_700950,1,1
CPAR2_700960,1,1
CPAR2_700970,1,1
CPAR2_700980,1,1
CPAR2_700990,1,1
CPAR2_701000,1,1
CPAR2_701010,1,1
CPAR2_701020,1,1
CPAR2_701030,1,1
CPAR2_701040,1,1
CPAR2_701050,1,1
CPAR2_701060,1,1
CPAR2_701070,1,1
CPAR2_701080,1,1
CPAR2_701090,1,1
CPAR2_701100,1,1
CPAR2_701110,1,1
CPAR2_701120,1,1
CPAR2_701130,1,1
CPAR2_701140,1,1
CPAR2_701150,1,1
