Reaction,Essential,Active
R01086__cyto,1,1
R00768__cyto,1,1
R03652__cyto,1,1
R04964__cyto,1,1
R03659__cyto,1,1
R12205__cyto,1,1
R01954__cyto,1,1
R04035__cyto,1,1
R08772__mito,1,1
R00858__cyto,1,1
R08177__pero,1,1
R01658__cyto,1,1
R01716__cyto,1,1
R01049__cyto,1,1
EX_C00009__extr,1,1
R02003__cyto,1,1
R01714__cyto,1,1
EX_C00120__extr,1,1
R01071__cyto,1,1
R02245__cyto,1,1
R03444__cyto,1,1
R04566__cyto,1,1
R01818__cyto,1,1
T_O2_c00007_ExtrCyto__plas,1,1
R12067__mito,1,1
R01123__cyto,1,1
R07505__cyto,1,1
R04536__cyto,1,1
R04953__cyto,1,1
T_Linoleoyl_CoA_c02050_CytoPero__plas,1,1
T_Chorismate_c00251_MitoCyto__plas,1,1
R07409__cyto,1,1
R12405__cyto,1,1
R02019__cyto,1,1
T_Oleoyl_CoA_c00510_CytoPero__plas,1,1
R04428__cyto,1,1
R00965__cyto,1,1
R01868__cyto,1,1
R03269__cyto,1,1
R10092__cyto,1,1
R02412__cyto,1,1
R02024__cyto,1,1
R00289__cyto,1,1
T_Stearoyl_CoA_c00412_CytoPero__plas,1,1
R07760__cyto,1,1
R08770__mito,1,1
R00158__cyto,1,1
R09377__cyto,1,1
R02874__cyto,1,1
R11043__cyto,1,1
R00549__cyto,1,1
EX_C00031__extr,1,1
R00332__cyto,1,1
R05639__cyto,1,1
R03968__cyto,1,1
R02326__cyto,1,1
T_S_Adenosyl_L_Homocysteine_c00021_MitoCyto__plas,1,1
R07761__cyto,1,1
R03038__cyto,1,1
R02472__cyto,1,1
EX_Histidine__cyto,1,1
R02056__cyto,1,1
R01121__cyto,1,1
R07281__cyto,1,1
T_O2_c00007_MitoCyto__plas,1,1
R04952__cyto,1,1
R03657__cyto,1,1
R03646__cyto,1,1
R02199__mito,1,1
R04726__cyto,1,1
R03424__cyto,1,1
R04355__cyto,1,1
R02413__cyto,1,1
R04968__cyto,1,1
T_Glycoaldehyde_C00266_CytoExtr__plas,1,1
R04509__cyto,1,1
R03662__cyto,1,1
R00188__cyto,1,1
R08159__cyto,1,1
R02094__cyto,1,1
R01130__cyto,1,1
R08551__cyto,1,1
R09250__cyto,1,1
R04954__cyto,1,1
T_S_Adenosyl_L_Methionine_c00019_CytoMito___plas,1,1
Carbohydrates__cyto,1,1
R02222__cyto,1,1
R02055__cyto,1,1
R00416__cyto,1,1
sterol__cyto,1,1
T_H2O_c00001_PeroCyto__plas,1,1
R02016_Cyto__cyto,1,1
R07324__cyto,1,1
R01870__cyto,1,1
R00238__cyto,1,1
R02021__cyto,1,1
e_RNA__cyto,1,1
R00509__cyto,1,1
R04231__cyto,1,1
R03013__cyto,1,1
R01857__cyto,1,1
R07759__cyto,1,1
R04037__cyto,1,1
R04209__cyto,1,1
R00271__cyto,1,1
R07758__cyto,1,1
R01135__cyto,1,1
R01127__cyto,1,1
R04001__cyto,1,1
R10686__cyto,1,1
R10711__cyto,1,1
R01513__cyto,1,1
R08774__mito,1,1
R03084__cyto,1,1
R02017__cyto,1,1
R07274__cyto,1,1
R04173__cyto,1,1
e_DNA__cyto,1,1
R02100__cyto,1,1
R04560__cyto,1,1
R01960__cyto,1,1
R01397__cyto,1,1
R07509__cyto,1,1
EX_C00266__extr,1,1
R04620__cyto,1,1
T_Isoleucine_c00407_MitoCyto___plas,1,1
R01626__cyto,1,1
e_Biomass__cyto,1,1
R00887__cyto,1,1
EX_C00014__extr,1,1
R01993__cyto,1,1
R08162__cyto,1,1
R00715__cyto,1,1
R04533__cyto,1,1
R01072__cyto,1,1
R04463__cyto,1,1
R00885__cyto,1,1
R05578__cyto,1,1
R03661__cyto,1,1
R03348__cyto,1,1
R01220__cyto,1,1
R03654__cyto,1,1
R12026__cyto,1,1
R03663_Cyto__cyto,1,1
R07495__cyto,1,1
R02315__cyto,1,1
R03460__cyto,1,1
EX_C00059__extr,1,1
R02082__cyto,1,1
R04957__cyto,1,1
R00943__cyto,1,1
R03664__cyto,1,1
R02237__cyto,1,1
R12404__cyto,1,1
R03665__cyto,1,1
R08176__pero,1,1
R03648__cyto,1,1
EX_Oxygen__extr,1,1
R01826__cyto,1,1
R03018__cyto,1,1
R08174__pero,1,1
R04144__cyto,1,1
R04543__cyto,1,1
T_Ammonia_c00014_ExtrCyto__plas,1,1
R01302__mito,1,1
R02058__cyto,1,1
R03658__cyto,1,1
R01715__cyto,1,1
R04640__cyto,1,1
R03243__cyto,1,1
R02093__cyto,1,1
R05640__cyto,1,1
R03457__cyto,1,1
R00425__cyto,1,1
R00742__cyto,1,1
R01801_Cyto__cyto,1,1
R01083__cyto,1,1
R05577__cyto,1,1
R00734__cyto,1,1
EX_Pyridoxal__cyto,1,1
R02029__cyto,1,1
R05641__cyto,1,1
R04208__cyto,1,1
