PanGemGeneID,MSK51,MSK2390
CPAR2_700010,100.0,100.0
CPAR2_700020,100.0,100.0
CPAR2_700030,99.458,100.0
CPAR2_700040,100.0,100.0
CPAR2_700050,100.0,100.0
CPAR2_700060,100.0,100.0
CPAR2_700070,100.0,100.0
CPAR2_700080,100.0,100.0
CPAR2_700090,100.0,100.0
CPAR2_700100,99.762,99.762
CPAR2_700110,100.0,100.0
CPAR2_700120,100.0,100.0
CPAR2_700130,100.0,100.0
CPAR2_700140,99.746,99.746
CPAR2_700150,100.0,100.0
CPAR2_700160,100.0,100.0
CPAR2_700170,100.0,100.0
CPAR2_700180,100.0,100.0
CPAR2_700190,100.0,100.0
CPAR2_700200,99.706,99.706
CPAR2_700210,100.0,100.0
CPAR2_700220,100.0,100.0
CPAR2_700230,100.0,100.0
CPAR2_700240,100.0,100.0
CPAR2_700250,100.0,100.0
CPAR2_700260,100.0,100.0
CPAR2_700270,100.0,100.0
CPAR2_700280,100.0,100.0
CPAR2_700290,100.0,100.0
CPAR2_700300,100.0,100.0
CPAR2_700310,100.0,100.0
CPAR2_700320,100.0,100.0
CPAR2_700330,100.0,99.911
CPAR2_700340,99.801,99.801
CPAR2_700350,100.0,100.0
CPAR2_700360,99.065,100.0
CPAR2_700370,100.0,100.0
CPAR2_700380,81.514,81.514
CPAR2_700390,100.0,100.0
CPAR2_700400,100.0,100.0
CPAR2_700410,100.0,100.0
CPAR2_700420,99.839,100.0
CPAR2_700430,100.0,100.0
CPAR2_700440,100.0,100.0
CPAR2_700450,100.0,100.0
CPAR2_700460,100.0,100.0
CPAR2_700470,100.0,100.0
CPAR2_700480,100.0,100.0
CPAR2_700490,100.0,99.923
CPAR2_700500,100.0,100.0
CPAR2_700510,100.0,100.0
CPAR2_700520,100.0,100.0
CPAR2_700530,100.0,100.0
CPAR2_700540,99.746,99.746
CPAR2_700550,100.0,100.0
CPAR2_700560,100.0,100.0
CPAR2_700570,100.0,100.0
CPAR2_700580,100.0,99.879
CPAR2_700590,100.0,100.0
CPAR2_700600,99.82,99.82
CPAR2_700610,100.0,100.0
CPAR2_700620,100.0,100.0
CPAR2_700630,100.0,100.0
CPAR2_700640,100.0,100.0
CPAR2_700650,100.0,100.0
CPAR2_700660,100.0,100.0
CPAR2_700670,100.0,100.0
CPAR2_700680,99.772,99.772
CPAR2_700690,100.0,100.0
CPAR2_700700,99.891,100.0
CPAR2_700710,100.0,100.0
CPAR2_700720,100.0,100.0
CPAR2_700730,100.0,100.0
CPAR2_700740,100.0,100.0
CPAR2_700750,99.51,99.51
CPAR2_700760,100.0,100.0
CPAR2_700770,100.0,99.763
CPAR2_700780,100.0,100.0
CPAR2_700790,100.0,100.0
CPAR2_700800,100.0,100.0
CPAR2_700810,99.844,99.844
CPAR2_700820,99.821,100.0
CPAR2_700830,99.681,99.681
CPAR2_700840,100.0,100.0
CPAR2_700850,99.213,99.213
CPAR2_700860,100.0,100.0
CPAR2_700870,100.0,100.0
CPAR2_700880,99.89,99.89
CPAR2_700890,100.0,100.0
CPAR2_700900,99.849,99.849
CPAR2_700910,100.0,100.0
CPAR2_700920,100.0,100.0
CPAR2_700930,100.0,100.0
CPAR2_700940,100.0,100.0
CPAR2_700950,100.0,100.0
CPAR2_700960,99.696,99.696
CPAR2_700970,100.0,100.0
CPAR2_700980,100.0,100.0
CPAR2_700990,100.0,100.0
CPAR2_701000,100.0,100.0
CPAR2_701010,100.0,100.0
CPAR2_701020,100.0,100.0
CPAR2_701030,100.0,100.0
CPAR2_701040,99.838,100.0
CPAR2_701050,100.0,100.0
CPAR2_701060,100.0,100.0
CPAR2_701070,100.0,100.0
CPAR2_701080,100.0,100.0
CPAR2_701090,100.0,100.0
CPAR2_701100,100.0,100.0
CPAR2_701110,100.0,100.0
CPAR2_701120,100.0,100.0
CPAR2_701130,100.0,100.0
CPAR2_701140,97.188,97.188
CPAR2_701150,100.0,100.0
CPAR2_701160,100.0,100.0
CPAR2_701170,100.0,100.0
CPAR2_701180,100.0,100.0
CPAR2_701190,100.0,100.0
CPAR2_701200,99.448,99.448
CPAR2_701210,99.861,99.861
CPAR2_701220,100.0,100.0
CPAR2_701230,100.0,100.0
CPAR2_701240,100.0,100.0
CPAR2_701250,100.0,100.0
CPAR2_701260,100.0,100.0
CPAR2_701270,100.0,100.0
CPAR2_701280,100.0,100.0
CPAR2_701290,100.0,100.0
CPAR2_701300,100.0,100.0
CPAR2_701310,99.79,99.79
CPAR2_701320,100.0,100.0
CPAR2_701330,99.783,100.0
CPAR2_701340,100.0,100.0
CPAR2_701350,100.0,100.0
CPAR2_701360,99.781,99.89
CPAR2_701370,100.0,100.0
CPAR2_701380,100.0,100.0
CPAR2_701390,100.0,100.0
CPAR2_701400,100.0,100.0
CPAR2_701410,99.752,99.752
CPAR2_701420,100.0,100.0
CPAR2_701430,100.0,100.0
CPAR2_701440,100.0,100.0
CPAR2_701460,100.0,100.0
CPAR2_701470,100.0,100.0
CPAR2_701480,100.0,100.0
CPAR2_701490,100.0,100.0
CPAR2_701500,99.742,99.742
CPAR2_701510,100.0,100.0
CPAR2_701520,100.0,100.0
CPAR2_701530,100.0,100.0
CPAR2_701590,100.0,100.0
CPAR2_701620,99.797,99.797
CPAR2_701630,100.0,100.0
CPAR2_701640,100.0,100.0
CPAR2_701650,100.0,100.0
CPAR2_701660,100.0,100.0
CPAR2_701670,100.0,100.0
CPAR2_701680,100.0,100.0
CPAR2_701690,100.0,99.875
CPAR2_701700,100.0,100.0
CPAR2_701710,100.0,100.0
CPAR2_701720,100.0,100.0
CPAR2_701730,100.0,100.0
CPAR2_701740,100.0,100.0
CPAR2_701750,100.0,100.0
CPAR2_701760,99.645,99.645
CPAR2_701770,100.0,100.0
CPAR2_701780,100.0,100.0
CPAR2_701790,100.0,100.0
CPAR2_701800,100.0,100.0
CPAR2_701810,100.0,100.0
CPAR2_701820,100.0,100.0
CPAR2_701830,100.0,100.0
CPAR2_701840,100.0,100.0
CPAR2_701850,100.0,100.0
CPAR2_701860,100.0,100.0
CPAR2_701870,100.0,100.0
CPAR2_701880,100.0,100.0
CPAR2_701890,100.0,100.0
CPAR2_701900,100.0,99.751
CPAR2_701910,100.0,100.0
CPAR2_701920,100.0,100.0
CPAR2_701930,99.742,100.0
CPAR2_701940,100.0,100.0
CPAR2_701950,100.0,100.0
CPAR2_701960,100.0,100.0
CPAR2_701970,99.88,99.88
CPAR2_701980,100.0,100.0
CPAR2_701990,100.0,100.0
CPAR2_702000,100.0,100.0
CPAR2_702010,20.0,20.0
CPAR2_702020,100.0,100.0
CPAR2_702030,100.0,100.0
CPAR2_702040,99.728,100.0
CPAR2_702050,100.0,100.0
CPAR2_702060,100.0,100.0
CPAR2_702070,100.0,100.0
CPAR2_702080,99.853,99.853
CPAR2_702090,100.0,100.0
CPAR2_702100,100.0,99.74
CPAR2_702110,100.0,100.0
CPAR2_702120,100.0,100.0
CPAR2_702130,100.0,100.0
CPAR2_702140,100.0,100.0
CPAR2_702150,99.776,99.776
CPAR2_702160,100.0,100.0
CPAR2_702170,100.0,100.0
CPAR2_702180,12.0,12.0
CPAR2_702190,100.0,100.0
CPAR2_702200,100.0,100.0
CPAR2_702210,100.0,100.0
CPAR2_702220,100.0,100.0
CPAR2_702230,99.797,99.797
CPAR2_702240,100.0,100.0
CPAR2_702250,100.0,100.0
CPAR2_702260,100.0,100.0
CPAR2_702280,100.0,100.0
CPAR2_702290,100.0,100.0
CPAR2_702300,99.787,99.787
CPAR2_702310,100.0,100.0
CPAR2_702320,100.0,100.0
CPAR2_702330,99.693,100.0
CPAR2_702340,100.0,100.0
CPAR2_702350,100.0,100.0
CPAR2_702360,100.0,100.0
CPAR2_702370,100.0,100.0
CPAR2_702380,99.845,99.845
CPAR2_702390,100.0,100.0
CPAR2_702400,100.0,100.0
CPAR2_702410,100.0,100.0
CPAR2_702420,100.0,100.0
CPAR2_702430,100.0,100.0
CPAR2_702440,100.0,100.0
CPAR2_702450,100.0,100.0
CPAR2_702460,100.0,100.0
CPAR2_702470,6.977,6.977
CPAR2_702480,100.0,100.0
CPAR2_702490,100.0,100.0
CPAR2_702500,100.0,100.0
CPAR2_702510,100.0,100.0
CPAR2_702520,91.257,91.257
CPAR2_702530,100.0,100.0
CPAR2_702540,67.939,67.939
CPAR2_702550,99.929,99.929
CPAR2_702560,100.0,100.0
CPAR2_702570,99.608,99.608
CPAR2_702580,100.0,100.0
CPAR2_702590,100.0,100.0
CPAR2_702600,99.602,99.602
CPAR2_702610,99.742,99.742
CPAR2_702620,100.0,100.0
CPAR2_702630,100.0,100.0
CPAR2_702640,99.739,99.739
CPAR2_702650,41.627,41.627
CPAR2_702670,100.0,100.0
CPAR2_702680,99.598,100.0
CPAR2_702690,100.0,100.0
CPAR2_702700,100.0,100.0
CPAR2_702710,100.0,100.0
CPAR2_702720,99.449,99.632
CPAR2_702730,100.0,100.0
CPAR2_702740,100.0,100.0
CPAR2_702750,100.0,100.0
CPAR2_702760,100.0,100.0
CPAR2_702770,100.0,100.0
CPAR2_702780,100.0,100.0
CPAR2_702790,99.937,99.937
CPAR2_702800,100.0,100.0
CPAR2_702810,100.0,100.0
CPAR2_702820,99.487,99.487
CPAR2_702830,100.0,100.0
CPAR2_702840,100.0,100.0
CPAR2_702850,100.0,100.0
CPAR2_702860,100.0,100.0
CPAR2_702870,100.0,100.0
CPAR2_702880,100.0,100.0
CPAR2_702890,100.0,100.0
CPAR2_702900,99.528,99.528
CPAR2_702910,99.897,99.897
CPAR2_702920,100.0,100.0
CPAR2_702930,100.0,100.0
CPAR2_702940,100.0,100.0
CPAR2_702950,99.821,84.767
CPAR2_702960,82.364,90.364
CPAR2_702970,96.709,100.0
CPAR2_702980,100.0,100.0
CPAR2_702990,100.0,100.0
CPAR2_703000,100.0,100.0
CPAR2_703010,100.0,100.0
CPAR2_703020,100.0,100.0
