,MSK51,MSK2390
R07054__cyto,99.823,100.0
R00894__cyto,100.0,100.0
TO0000182_CYTMEM__plas,100.0,100.0
R01853__pero,100.0,100.0
R03936__cyto,100.0,100.0
R02354__cyto,99.823,100.0
R00658__cyto,100.0,100.0
R00763__cyto,100.0,100.0
R01220__cyto,100.0,100.0
EX_C00214__extr,100.0,100.0
R08657__mito,100.0,100.0
TR0015529_CYTMEM__plas,100.0,100.0
R06520__mito,100.0,100.0
R04355__cyto,100.0,99.951
T__9Z_12Z_15Z__Octadecatrienoyl_CoA_c16162_CytoPero__plas,100.0,100.0
EX_CO2__extr,100.0,100.0
TR0002803_CYTMEM__plas,100.0,100.0
R04591__cyto,100.0,100.0
R02485__cyto,100.0,100.0
TO1002511_CYTMEM__plas,99.84,99.84
R00527__cyto,100.0,100.0
TR0011839_CYTMEM__plas,100.0,100.0
TR2901157_CYTMEM__plas,100.0,100.0
R01351__cyto,100.0,100.0
2_oxoglutarate_Dehydro_Complex__mito,100.0,100.0
TR2900096_CYTMEM__plas,100.0,100.0
R00489__cyto,100.0,100.0
EX_C01217__extr,100.0,100.0
EX_Oxygen__extr,100.0,100.0
TR0011423_CYTMEM__plas,100.0,100.0
TO1000438_CYTMEM__plas,99.84,99.84
R00848__mito,100.0,100.0
EX_C00881__extr,100.0,100.0
R07895__cyto,100.0,100.0
TR0000517_CYTMEM__plas,100.0,100.0
R01377__cyto,100.0,100.0
EX_C02341__extr,100.0,100.0
R01072__cyto,100.0,100.0
R01187__cyto,100.0,100.0
EX_C00455__extr,100.0,100.0
R02464__cyto,100.0,100.0
TR1000009_CYTMEM__plas,100.0,100.0
R00548__cyto,100.0,100.0
R00768__cyto,100.0,100.0
R04891__cyto,100.0,100.0
TR1000310_CYTMEM__plas,100.0,100.0
EX_C21016__extr,100.0,100.0
R00243__cyto,100.0,100.0
TO1000249_CYTMEM__plas,99.84,99.84
R03293__cyto,100.0,100.0
TR0015316_CYTMEM__plas,100.0,100.0
R08657__cyto,100.0,100.0
TR2901123_CYTMEM__plas,100.0,100.0
R02480__cyto,100.0,100.0
R04639__cyto,100.0,100.0
EX_C00334__cyto,100.0,100.0
EX_C00219__extr,100.0,100.0
TR0013385_CYTMEM__plas,100.0,100.0
R12120__mito,99.808,99.808
TR0012660_CYTMEM__plas,100.0,100.0
EX_C00865__extr,100.0,100.0
TR2900814_CYTMEM__plas,100.0,100.0
TR2000161_CYTMEM__plas,100.0,100.0
TO1002738_CYTMEM__plas,100.0,100.0
R03657__cyto,100.0,100.0
TR2000015_CYTMEM__plas,100.0,100.0
TR0011829_CYTMEM__plas,100.0,100.0
R01466__cyto,100.0,100.0
R03652__cyto,100.0,100.0
R02295__cyto,100.0,100.0
TR2000017_CYTMEM__plas,100.0,100.0
R00937__cyto,100.0,100.0
EX_C03454__extr,100.0,100.0
R00717__cyto,100.0,100.0
R09076__cyto,100.0,100.0
R09419__cyto,100.0,100.0
EX_C00750__extr,100.0,100.0
EX_C01753__extr,100.0,100.0
R02874__cyto,100.0,100.0
R02359__cyto,100.0,100.0
R00248__cyto,100.0,100.0
