,MSK51,MSK2390
R07054__cyto,1,1
R00894__cyto,1,1
TO0000182_CYTMEM__plas,1,1
R01853__pero,1,1
R03936__cyto,1,1
R02354__cyto,1,1
R00658__cyto,1,1
R00763__cyto,1,1
R01220__cyto,1,1
EX_C00214__extr,1,1
R08657__mito,1,1
TR0015529_CYTMEM__plas,1,1
R06520__mito,1,1
R04355__cyto,1,1
T__9Z_12Z_15Z__Octadecatrienoyl_CoA_c16162_CytoPero__plas,1,1
EX_CO2__extr,1,1
TR0002803_CYTMEM__plas,1,1
R04591__cyto,1,1
R02485__cyto,1,1
TO1002511_CYTMEM__plas,1,1
R00527__cyto,1,1
TR0011839_CYTMEM__plas,1,1
TR2901157_CYTMEM__plas,1,1
R01351__cyto,1,1
2_oxoglutarate_Dehydro_Complex__mito,1,1
TR2900096_CYTMEM__plas,1,1
R00489__cyto,1,1
EX_C01217__extr,1,1
EX_Oxygen__extr,1,1
TR0011423_CYTMEM__plas,1,1
TO1000438_CYTMEM__plas,1,1
R00848__mito,1,1
EX_C00881__extr,1,1
R07895__cyto,1,1
TR0000517_CYTMEM__plas,1,1
R01377__cyto,1,1
EX_C02341__extr,1,1
R01072__cyto,1,1
R01187__cyto,1,1
EX_C00455__extr,1,1
R02464__cyto,1,1
TR1000009_CYTMEM__plas,1,1
R00548__cyto,1,1
R00768__cyto,1,1
R04891__cyto,1,1
TR1000310_CYTMEM__plas,1,1
EX_C21016__extr,1,1
R00243__cyto,1,1
TO1000249_CYTMEM__plas,1,1
R03293__cyto,1,1
TR0015316_CYTMEM__plas,1,1
R08657__cyto,1,1
TR2901123_CYTMEM__plas,1,1
R02480__cyto,1,1
R04639__cyto,1,1
EX_C00334__cyto,1,1
EX_C00219__extr,1,1
TR0013385_CYTMEM__plas,1,1
R12120__mito,1,1
TR0012660_CYTMEM__plas,1,1
EX_C00865__extr,1,1
TR2900814_CYTMEM__plas,1,1
TR2000161_CYTMEM__plas,1,1
TO1002738_CYTMEM__plas,1,1
R03657__cyto,1,1
TR2000015_CYTMEM__plas,1,1
TR0011829_CYTMEM__plas,1,1
R01466__cyto,1,1
R03652__cyto,1,1
R02295__cyto,1,1
TR2000017_CYTMEM__plas,1,1
R00937__cyto,1,1
EX_C03454__extr,1,1
R00717__cyto,1,1
R09076__cyto,1,1
R09419__cyto,1,1
EX_C00750__extr,1,1
EX_C01753__extr,1,1
R02874__cyto,1,1
R02359__cyto,1,1
R00248__cyto,1,1
R01372__cyto,1,1
R02654__cyto,1,1
TR2900231_CYTMEM__plas,1,1
R02003__cyto,1,1
R04955__cyto,1,1
R00674__cyto,1,1
R02849__cyto,1,1
R02413__cyto,1,1
R01801_Cyto__cyto,1,1
R01398__cyto,1,1
TR2901159_CYTMEM__plas,1,1
R04208__cyto,1,1
R10949__cyto,1,1
TI6900005_CYTMEM__plas,1,1
T_H2O_c00001_ExtrCyto__plas,1,1
TO0000924_CYTMEM__plas,1,1
R01030__cyto,1,1
TR1000388_CYTMEM__plas,1,1
TR0011455_CYTMEM__plas,1,1
R03416__cyto,1,1
TR2900858_CYTMEM__plas,1,1
EX_C00082__extr,1,1
R00763__mito,1,1
R08551__cyto,1,1
EX_C01327__extr,1,1
R02722__cyto,1,1
TR2900990_CYTMEM__plas,1,1
R00220__pero,1,1
TR2900267_CYTMEM__plas,1,1
R03856__cyto,1,1
R02739__cyto,1,1
R10619__cyto,1,1
TR2901179_CYTMEM__plas,1,1
R01157__cyto,1,1
R01330__cyto,1,1
EX_C00104__extr,1,1
R00227__cyto,1,1
R01220__mito,1,1
R12205__mito,1,1
TR1000121_CYTMEM__plas,1,1
R01787__cyto,1,1
TR1900010_CYTMEM__plas,1,1
TR2900277_CYTMEM__plas,1,1
TR2900030_CYTMEM__plas,1,1
R01288__cyto,1,1
R07396__cyto,1,1
R04566__cyto,1,1
R03036__cyto,1,1
R08162__cyto,1,1
TO0010516_PLAS__plas,1,1
EX_C00492__extr,1,1
R01960__cyto,1,1
EX_C00134__extr,1,1
R11216__cyto,1,1
TR0000111_CYTMEM__plas,1,1
TR2900287_CYTMEM__plas,1,1
TR2900308_CYTMEM__plas,1,1
TR0000090_CYTMEM__plas,1,1
R01274__pero,1,1
EX_C00024__extr,1,1
TR0001563_CYTMEM__plas,1,1
T_Isoleucine_c00407_MitoCyto___plas,1,1
R01051__cyto,1,1
R00974__cyto,1,1
R03661__cyto,1,1
EX_C02431__cyto,1,1
R11764__cyto,1,1
TR0000559_CYTMEM__plas,1,1
R00278__cyto,1,1
R04430__cyto,1,1
EX_C04377__extr,1,1
EX_C00718__extr,1,1
TR1000157_CYTMEM__plas,1,1
EX_C00010__extr,1,1
R01965__cyto,1,1
EX_C05966__extr,1,1
R02558__cyto,1,1
R02017__cyto,1,1
TR2916905_CYTMEM__plas,1,1
R04964__cyto,1,1
R01926__mito,1,1
R04882__pero,1,1
R01736__cyto,1,1
R01626__cyto,1,1
R05733__cyto,1,1
EX_C00008__extr,1,1
R04969__cyto,1,1
R01209__mito,1,1
EX_C04317__extr,1,1
EX_C02350__extr,1,1
R00316__cyto,1,1
EX_C00954__extr,1,1
R00328__cyto,1,1
EX_C11554__extr,1,1
R02016_Cyto__cyto,1,1
TZ2900063_CYTMEM__plas,1,1
T_Oxaloacetate_c00036_CytoMito__plas,1,1
R00390__cyto,1,1
R01600__cyto,1,1
TR0000283_CYTMEM__plas,1,1
R01710__cyto,1,1
R03217__cyto,1,1
EX_C00120__extr,1,1
R07134__cyto,1,1
R01140__cyto,1,1
EX_Pyridoxal__cyto,1,1
R04533__cyto,1,1
R02024__cyto,1,1
TR1000179_CYTMEM__plas,1,1
R00988__cyto,1,1
R00705__cyto,1,1
R11216__mito,1,1
EX_C00003__extr,1,1
e_Lipid__cyto,1,1
R04371__cyto,1,1
TR0000919_CYTMEM__plas,1,1
R03758__mito,1,1
R03542__cyto,1,1
R01431__cyto,1,1
R01321__cyto,1,1
R10825__mito,1,1
EX_C00015__extr,1,1
R00708__mito,1,1
R10928__cyto,1,1
EX_C14819__extr,1,1
R03648__cyto,1,1
TR0011837_CYTMEM__plas,1,1
TR2900119_CYTMEM__plas,1,1
R05616__cyto,1,1
TO1000074_CYTMEM__plas,1,1
R01799__mito,1,1
R09376__cyto,0,0
R11101__cyto,1,1
EX_C00329__extr,1,1
TO1002197_CYTMEM__plas,1,1
R00772__cyto,1,1
R02059__cyto,1,1
T_2_oxoglutarate_c00026_MitoCyto___plas,1,1
R04751__cyto,1,1
R00937__mito,1,1
R09477__cyto,1,1
EX_C00387__extr,1,1
EX_C20190__extr,1,1
TR2900940_CYTMEM__plas,1,1
TO0000021_PLAS__plas,1,1
R10825__cyto,1,1
R02235__mito,1,1
TO1000184_CYTMEM__plas,1,1
R07409__cyto,1,1
R01855__cyto,1,1
R04144__cyto,1,1
TO1000478_CYTMEM__plas,1,1
TR2916888_CYTMEM__plas,1,1
R00772__mito,1,1
R03758__cyto,1,1
EX_C00059__extr,1,1
EX_C00828__extr,1,1
EX_C01589__extr,1,1
R03158__cyto,1,1
R00159__cyto,1,1
R00662__cyto,1,1
R12404__cyto,1,1
R10115__cyto,1,1
R02668__cyto,1,1
EX_C07481__extr,1,1
R02778__cyto,1,1
R12399__cyto,1,1
TO1000201_CYTMEM__plas,1,1
EX_C03885__extr,1,1
R02235__cyto,1,1
TZ3000012_CYTMEM__plas,1,1
R00332__cyto,1,1
R01752__cyto,1,1
T_4_Aminobutanoate__plas,1,1
TR2900289_CYTMEM__plas,1,1
EX_C01762__extr,1,1
R02617__cyto,1,1
R01086__cyto,1,1
R10056__cyto,1,1
TO1000263_CYTMEM__plas,1,1
EX_C05684__extr,1,1
R00756__cyto,1,1
R04863__cyto,1,1
R10827__cyto,1,1
R07497__cyto,1,1
R03903__cyto,1,1
EX_C01419__extr,1,1
R01663__cyto,1,1
TR2000043_CYTMEM__plas,1,1
TO0000311_CYTMEM__plas,1,1
TR2900291_CYTMEM__plas,1,1
R11099__pero,1,1
TR0001210_CYTMEM__plas,1,1
R08282__pero,1,1
R05046__cyto,1,1
EX_C00033__extr,1,1
TR0003847_CYTMEM__plas,1,1
R00582__cyto,1,1
R04536__cyto,1,1
EX_C00116__extr,1,1
R01759__cyto,1,1
EX_C03892__extr,1,1
EX_C11557__extr,1,1
R00405__mito,1,1
R00770__cyto,1,1
T_Ammonia_c00014_CytoPero__pero,1,1
TR2900203_CYTMEM__plas,1,1
Transport_Acetaldeyde_PeroCyto__pero,1,1
EX_C01451__cyto,1,1
R02731__cyto,1,1
R04946__cyto,1,1
TZ2900067_CYTMEM__plas,1,1
TR0003566_CYTMEM__plas,1,1
R00014__mito,1,1
TR2900101_CYTMEM__plas,1,1
R00177__cyto,1,1
R11220__cyto,1,1
R00209__mito,1,1
R01279__cyto,1,1
TR2916185_CYTMEM__plas,1,1
R00515__mito,1,1
TR1000306_CYTMEM__plas,1,1
R02326__cyto,1,1
R00904__cyto,1,1
TR0012849_CYTMEM__plas,1,1
R01773__cyto,1,1
T00485__cyto,1,1
R00515__cyto,1,1
T_NADPh_c00005_MitoCyto__plas,1,1
TZ2900031_CYTMEM__plas,1,1
R04753__cyto,1,1
TR0002419_CYTMEM__plas,1,1
R00341__cyto,1,1
TR0011662_CYTMEM__plas,1,1
R03755__cyto,1,1
EX_C00143__extr,1,1
R00925__cyto,1,1
R03970__cyto,1,1
R00086__cyto,1,1
TR0000029_CYTMEM__plas,1,1
T_NAD__c00003_MitoCyto_V1__plas,1,1
R03629__cyto,1,1
R10089__mito,1,1
R00236__cyto,1,1
R01974__cyto,1,1
R04962__cyto,1,1
TR0012375_CYTMEM__plas,1,1
EX_C00148__extr,1,1
TR2901117_CYTMEM__plas,1,1
R02731__mito,1,1
R11220__mito,1,1
TR2900988_CYTMEM__plas,1,1
EX_C00333__extr,1,1
R00081__mito,1,1
R01274__cyto,1,1
R09510__cyto,1,1
R02283__cyto,1,1
R00751__cyto,1,1
TR1001017_CYTMEM__plas,1,1
R00513__cyto,1,1
TR0000009_CYTMEM__plas,1,1
EX_C01226__extr,1,1
R03313__cyto,1,1
R02577__cyto,1,1
EX_C12126__extr,1,1
TR1000105_CYTMEM__plas,1,1
TR1000027_CYTMEM__plas,1,1
R04037__cyto,1,1
R04779__cyto,1,1
TR0012678_CYTMEM__plas,1,1
TO0000367_CYTMEM__plas,1,1
TZ2900053_CYTMEM__plas,1,1
TR2900966_CYTMEM__plas,1,1
TR0011684_CYTMEM__plas,1,1
R04726__cyto,1,1
R02109__cyto,1,1
EX_C00031__extr,1,1
R02340__cyto,1,1
R03066__cyto,1,1
T_Valine_c00183_ExtrCyto__plas,1,1
R01574__cyto,1,1
R10951__cyto,1,1
R07162__mito,1,1
R00287__cyto,1,1
R04301__cyto,1,1
R02106__cyto,1,1
R01880__cyto,1,1
TR0012500_CYTMEM__plas,1,1
TR1900004_CYTMEM__plas,1,1
R01708__cyto,1,1
R01818__cyto,1,1
TO1000016_CYTMEM__plas,1,1
EX_C00127__extr,1,1
EX_C01126__cyto,1,1
R02061__cyto,1,1
TO1000182_CYTMEM__plas,1,1
R02687__cyto,1,1
EX_C01697__cyto,1,1
TZ3000004_CYTMEM__plas,1,1
EX_C01277__extr,1,1
EX_C05528__extr,1,1
R07888__cyto,1,1
R12329__cyto,1,1
R00257__cyto,1,1
TO1000367_CYTMEM__plas,1,1
TR0000289_CYTMEM__plas,1,1
R08362__pero,1,1
R04426__cyto,1,1
Drain_to_H2O__extr,1,1
TO1000924_CYTMEM__plas,1,1
R01302__mito,1,1
R06063__cyto,1,1
R03013__cyto,1,1
EX_C00221__extr,1,1
TR0015545_CYTMEM__plas,1,1
R00344__cyto,1,1
R00424__cyto,1,1
R04889__cyto,1,1
R04756__cyto,1,1
TR2901005_CYTMEM__plas,1,1
R01926__cyto,1,1
R03284__cyto,1,1
R01706__cyto,1,1
R04866__cyto,1,1
R00014__cyto,1,1
R00754__cyto,1,1
R03197__cyto,1,1
R12205__pero,1,1
EX_C00052__extr,1,1
EX_C00458__extr,1,1
TO1000207_CYTMEM__plas,1,1
TO0000249_CYTMEM__plas,1,1
TR2000137_CYTMEM__plas,1,1
TO1000345_CYTMEM__plas,1,1
R01054__cyto,1,1
EX_C00473__extr,1,1
R04559__cyto,1,1
R02324__cyto,1,1
T_CO2_c00011_ExtrCyto__plas,1,1
R07505__cyto,1,1
EX_C06423__extr,1,1
T_NADP__c00006_MitoCyto__plas,1,1
EX_C00627__extr,1,1
EX_C00647__extr,1,1
R08174__pero,1,1
R04428__cyto,1,1
R04501__cyto,1,1
R00955__cyto,1,1
EX_C04115__extr,1,1
R08575__cyto,1,1
R04444__mito,1,1
R00897__cyto,1,1
EX_C11887__extr,1,1
R12657__mito,1,1
R08639__cyto,1,1
