PanGemGeneID,MSK51,MSK2390
CPAR2_700010,Cpa_MSK51_g4942.t1,Cpa_MSK2390_g5023.t1
CPAR2_700020,Cpa_MSK51_g4943.t1,Cpa_MSK2390_g5024.t1
CPAR2_700030,Cpa_MSK51_g4944.t1,Cpa_MSK2390_g5025.t1
CPAR2_700040,Cpa_MSK51_g4945.t1,Cpa_MSK2390_g5026.t1
CPAR2_700050,Cpa_MSK51_g4946.t1,Cpa_MSK2390_g5027.t1
CPAR2_700060,Cpa_MSK51_g4947.t1,Cpa_MSK2390_g5028.t1
CPAR2_700070,Cpa_MSK51_g4948.t1,Cpa_MSK2390_g5029.t1
CPAR2_700080,Cpa_MSK51_g4949.t1,Cpa_MSK2390_g5030.t1
CPAR2_700090,Cpa_MSK51_g4950.t1,Cpa_MSK2390_g5031.t1
CPAR2_700100,Cpa_MSK51_g4951.t1,Cpa_MSK2390_g5032.t1
CPAR2_700110,Cpa_MSK51_g4952.t1,Cpa_MSK2390_g5033.t1
CPAR2_700120,Cpa_MSK51_g4953.t1,Cpa_MSK2390_g5034.t1
CPAR2_700130,Cpa_MSK51_g4954.t1,Cpa_MSK2390_g5035.t1
CPAR2_700140,Cpa_MSK51_g4955.t1,Cpa_MSK2390_g5036.t1
CPAR2_700150,Cpa_MSK51_g4956.t1,Cpa_MSK2390_g5037.t1
CPAR2_700160,Cpa_MSK51_g4957.t1,Cpa_MSK2390_g5038.t1
CPAR2_700170,Cpa_MSK51_g4958.t1,Cpa_MSK2390_g5039.t1
CPAR2_700180,Cpa_MSK51_g4959.t1,Cpa_MSK2390_g5040.t1
CPAR2_700190,Cpa_MSK51_g4960.t1,Cpa_MSK2390_g5041.t1
CPAR2_700200,Cpa_MSK51_g4961.t1,Cpa_MSK2390_g5042.t1
CPAR2_700210,Cpa_MSK51_g4962.t1,Cpa_MSK2390_g5043.t1
CPAR2_700220,Cpa_MSK51_g4963.t1,Cpa_MSK2390_g5044.t1
CPAR2_700230,Cpa_MSK51_g4964.t1,Cpa_MSK2390_g5045.t1
CPAR2_700240,Cpa_MSK51_g4965.t1,Cpa_MSK2390_g5046.t1
CPAR2_700250,Cpa_MSK51_g4966.t1,Cpa_MSK2390_g5047.t1
CPAR2_700260,Cpa_MSK51_g4967.t1,Cpa_MSK2390_g5048.t1
CPAR2_700270,Cpa_MSK51_g4968.t1,Cpa_MSK2390_g5049.t1
CPAR2_700280,Cpa_MSK51_g4969.t1,Cpa_MSK2390_g5050.t1
CPAR2_700290,Cpa_MSK51_g4970.t1,Cpa_MSK2390_g5051.t1
CPAR2_700300,Cpa_MSK51_g4971.t1,Cpa_MSK2390_g5052.t1
CPAR2_700310,Cpa_MSK51_g4972.t1,Cpa_MSK2390_g5053.t1
CPAR2_700320,Cpa_MSK51_g4973.t1,Cpa_MSK2390_g5054.t1
CPAR2_700330,Cpa_MSK51_g4974.t1,Cpa_MSK2390_g5055.t1
CPAR2_700340,Cpa_MSK51_g4975.t1,Cpa_MSK2390_g5056.t1
CPAR2_700350,Cpa_MSK51_g4976.t1,Cpa_MSK2390_g5057.t1
CPAR2_700360,Cpa_MSK51_g4977.t1,Cpa_MSK2390_g5058.t1
CPAR2_700370,Cpa_MSK51_g4978.t1,Cpa_MSK2390_g5059.t1
CPAR2_700380,,
CPAR2_700390,Cpa_MSK51_g4980.t1,Cpa_MSK2390_g5061.t1
CPAR2_700400,Cpa_MSK51_g4981.t1,Cpa_MSK2390_g5062.t1
CPAR2_700410,Cpa_MSK51_g4982.t1,Cpa_MSK2390_g5063.t1
CPAR2_700420,Cpa_MSK51_g4983.t1,Cpa_MSK2390_g5064.t1
CPAR2_700430,Cpa_MSK51_g4984.t1,Cpa_MSK2390_g5065.t1
CPAR2_700440,Cpa_MSK51_g4985.t1,Cpa_MSK2390_g5066.t1
CPAR2_700450,Cpa_MSK51_g4986.t1,Cpa_MSK2390_g5067.t1
CPAR2_700460,Cpa_MSK51_g4987.t1,Cpa_MSK2390_g5068.t1
CPAR2_700470,Cpa_MSK51_g4988.t1,Cpa_MSK2390_g5069.t1
CPAR2_700480,Cpa_MSK51_g4989.t1,Cpa_MSK2390_g5070.t1
CPAR2_700490,Cpa_MSK51_g4990.t1,Cpa_MSK2390_g5071.t1
CPAR2_700500,Cpa_MSK51_g4991.t1,Cpa_MSK2390_g5718.t1
CPAR2_700510,Cpa_MSK51_g4992.t1,Cpa_MSK2390_g5719.t1
CPAR2_700520,Cpa_MSK51_g4993.t1,Cpa_MSK2390_g5720.t1
CPAR2_700530,Cpa_MSK51_g4994.t1,Cpa_MSK2390_g5721.t1
CPAR2_700540,Cpa_MSK51_g4995.t1,Cpa_MSK2390_g5722.t1
CPAR2_700550,Cpa_MSK51_g4996.t1,Cpa_MSK2390_g5723.t1
CPAR2_700560,Cpa_MSK51_g4997.t1,Cpa_MSK2390_g5724.t1
CPAR2_700570,Cpa_MSK51_g4998.t1,Cpa_MSK2390_g5725.t1
CPAR2_700580,Cpa_MSK51_g4999.t1,Cpa_MSK2390_g5726.t1
CPAR2_700590,Cpa_MSK51_g5000.t1,Cpa_MSK2390_g5727.t1
CPAR2_700600,Cpa_MSK51_g5001.t1,Cpa_MSK2390_g5728.t1
CPAR2_700610,Cpa_MSK51_g5002.t1,Cpa_MSK2390_g5729.t1
CPAR2_700620,Cpa_MSK51_g5003.t1,Cpa_MSK2390_g5730.t1
CPAR2_700630,Cpa_MSK51_g5004.t1,Cpa_MSK2390_g5731.t1
CPAR2_700640,Cpa_MSK51_g5005.t1,Cpa_MSK2390_g5732.t1
CPAR2_700650,Cpa_MSK51_g5006.t1,Cpa_MSK2390_g5733.t1
CPAR2_700660,Cpa_MSK51_g5007.t1,Cpa_MSK2390_g5734.t1
CPAR2_700670,Cpa_MSK51_g5008.t1,Cpa_MSK2390_g5735.t1
CPAR2_700680,Cpa_MSK51_g5009.t1,Cpa_MSK2390_g5736.t1
CPAR2_700690,Cpa_MSK51_g5010.t1,Cpa_MSK2390_g5737.t1
CPAR2_700700,Cpa_MSK51_g5011.t1,Cpa_MSK2390_g5738.t1
CPAR2_700710,Cpa_MSK51_g5012.t1,Cpa_MSK2390_g5739.t1
CPAR2_700720,Cpa_MSK51_g5013.t1,Cpa_MSK2390_g5740.t1
CPAR2_700730,Cpa_MSK51_g5014.t1,Cpa_MSK2390_g5741.t1
CPAR2_700740,Cpa_MSK51_g5015.t1,Cpa_MSK2390_g5742.t1
CPAR2_700750,Cpa_MSK51_g5016.t1,Cpa_MSK2390_g5743.t1
CPAR2_700760,Cpa_MSK51_g5017.t1,Cpa_MSK2390_g5744.t1
CPAR2_700770,Cpa_MSK51_g5018.t1,Cpa_MSK2390_g5745.t1
CPAR2_700780,Cpa_MSK51_g5019.t1,Cpa_MSK2390_g5746.t1
CPAR2_700790,Cpa_MSK51_g5020.t1,Cpa_MSK2390_g5747.t1
CPAR2_700800,Cpa_MSK51_g5021.t1,Cpa_MSK2390_g5748.t1
CPAR2_700810,Cpa_MSK51_g5022.t1,Cpa_MSK2390_g5749.t1
CPAR2_700820,Cpa_MSK51_g5023.t1,Cpa_MSK2390_g5750.t1
CPAR2_700830,Cpa_MSK51_g5024.t1,Cpa_MSK2390_g5751.t1
CPAR2_700840,Cpa_MSK51_g5025.t1,Cpa_MSK2390_g5752.t1
CPAR2_700850,Cpa_MSK51_g5026.t1,Cpa_MSK2390_g5753.t1
CPAR2_700860,Cpa_MSK51_g5027.t1,Cpa_MSK2390_g5754.t1
CPAR2_700870,Cpa_MSK51_g5028.t1,Cpa_MSK2390_g5755.t1
CPAR2_700880,Cpa_MSK51_g5029.t1,Cpa_MSK2390_g5756.t1
CPAR2_700890,Cpa_MSK51_g5030.t1,Cpa_MSK2390_g5757.t1
CPAR2_700900,Cpa_MSK51_g5031.t1,Cpa_MSK2390_g5758.t1
CPAR2_700910,Cpa_MSK51_g5032.t1,Cpa_MSK2390_g5759.t1
CPAR2_700920,Cpa_MSK51_g5033.t1,Cpa_MSK2390_g5760.t1
CPAR2_700930,Cpa_MSK51_g5034.t1,Cpa_MSK2390_g5761.t1
CPAR2_700940,Cpa_MSK51_g5035.t1,Cpa_MSK2390_g5762.t1
CPAR2_700950,Cpa_MSK51_g5036.t1,Cpa_MSK2390_g5763.t1
CPAR2_700960,Cpa_MSK51_g5037.t2,Cpa_MSK2390_g5764.t2
CPAR2_700970,Cpa_MSK51_g5038.t1,Cpa_MSK2390_g5765.t1
CPAR2_700980,Cpa_MSK51_g5039.t1,Cpa_MSK2390_g5766.t1
CPAR2_700990,Cpa_MSK51_g5040.t1,Cpa_MSK2390_g5767.t1
CPAR2_701000,Cpa_MSK51_g5041.t1,Cpa_MSK2390_g5768.t1
CPAR2_701010,Cpa_MSK51_g5042.t1,Cpa_MSK2390_g5769.t1
CPAR2_701020,Cpa_MSK51_g5043.t1,Cpa_MSK2390_g5770.t1
CPAR2_701030,Cpa_MSK51_g5044.t1,Cpa_MSK2390_g5771.t1
CPAR2_701040,Cpa_MSK51_g5045.t1,Cpa_MSK2390_g5772.t1
CPAR2_701050,Cpa_MSK51_g5046.t1,Cpa_MSK2390_g5773.t1
CPAR2_701060,Cpa_MSK51_g5047.t1,Cpa_MSK2390_g5774.t1
CPAR2_701070,Cpa_MSK51_g5048.t1,Cpa_MSK2390_g5775.t1
CPAR2_701080,Cpa_MSK51_g5049.t1,Cpa_MSK2390_g5776.t1
CPAR2_701090,Cpa_MSK51_g5050.t1,Cpa_MSK2390_g5777.t1
CPAR2_701100,Cpa_MSK51_g5051.t1,Cpa_MSK2390_g5778.t1
CPAR2_701110,Cpa_MSK51_g5052.t1,Cpa_MSK2390_g5779.t1
CPAR2_701120,Cpa_MSK51_g5053.t1,Cpa_MSK2390_g5780.t1
CPAR2_701130,Cpa_MSK51_g5054.t1,Cpa_MSK2390_g5781.t1
CPAR2_701140,Cpa_MSK51_g5055.t1,Cpa_MSK2390_g5782.t1
CPAR2_701150,Cpa_MSK51_g5057.t1,Cpa_MSK2390_g5784.t1
CPAR2_701160,Cpa_MSK51_g5058.t1,Cpa_MSK2390_g5785.t1
CPAR2_701170,Cpa_MSK51_g5059.t1,Cpa_MSK2390_g5786.t1
CPAR2_701180,Cpa_MSK51_g5060.t1,Cpa_MSK2390_g5787.t1
CPAR2_701190,Cpa_MSK51_g5061.t1,Cpa_MSK2390_g5788.t1
CPAR2_701200,Cpa_MSK51_g5062.t1,Cpa_MSK2390_g5789.t1
CPAR2_701210,Cpa_MSK51_g5063.t1,Cpa_MSK2390_g5790.t1
CPAR2_701220,Cpa_MSK51_g5064.t1,Cpa_MSK2390_g5791.t1
CPAR2_701230,Cpa_MSK51_g5065.t1,Cpa_MSK2390_g5792.t1
CPAR2_701240,Cpa_MSK51_g5066.t1,Cpa_MSK2390_g5793.t1
CPAR2_701250,Cpa_MSK51_g5067.t1,Cpa_MSK2390_g5794.t1
CPAR2_701260,Cpa_MSK51_g5068.t1,Cpa_MSK2390_g5795.t1
CPAR2_701270,Cpa_MSK51_g5069.t1,Cpa_MSK2390_g5796.t1
CPAR2_701280,Cpa_MSK51_g5070.t1,Cpa_MSK2390_g5797.t1
CPAR2_701290,Cpa_MSK51_g5071.t1,Cpa_MSK2390_g5798.t1
CPAR2_701300,Cpa_MSK51_g5072.t1,Cpa_MSK2390_g5799.t1
CPAR2_701310,Cpa_MSK51_g5073.t1,Cpa_MSK2390_g5800.t1
CPAR2_701320,Cpa_MSK51_g5074.t1,Cpa_MSK2390_g5801.t1
CPAR2_701330,Cpa_MSK51_g5075.t1,Cpa_MSK2390_g5802.t1
CPAR2_701340,Cpa_MSK51_g5076.t1,Cpa_MSK2390_g5803.t1
CPAR2_701350,Cpa_MSK51_g5077.t1,Cpa_MSK2390_g5804.t1
CPAR2_701360,Cpa_MSK51_g5078.t1,Cpa_MSK2390_g5805.t1
CPAR2_701370,Cpa_MSK51_g5079.t1,Cpa_MSK2390_g5806.t1
CPAR2_701380,Cpa_MSK51_g5080.t1,Cpa_MSK2390_g5807.t1
CPAR2_701390,Cpa_MSK51_g5081.t1,Cpa_MSK2390_g5808.t1
CPAR2_701400,Cpa_MSK51_g5082.t1,Cpa_MSK2390_g5809.t1
CPAR2_701410,Cpa_MSK51_g5083.t1,Cpa_MSK2390_g5810.t1
CPAR2_701420,Cpa_MSK51_g5084.t1,Cpa_MSK2390_g5811.t1
CPAR2_701430,Cpa_MSK51_g5085.t1,Cpa_MSK2390_g5812.t1
CPAR2_701440,Cpa_MSK51_g5086.t1,Cpa_MSK2390_g5813.t1
CPAR2_701460,Cpa_MSK51_g5087.t1,Cpa_MSK2390_g5814.t1
CPAR2_701470,Cpa_MSK51_g5088.t1,Cpa_MSK2390_g5815.t1
CPAR2_701480,Cpa_MSK51_g5089.t1,Cpa_MSK2390_g5816.t1
CPAR2_701490,Cpa_MSK51_g5090.t1,Cpa_MSK2390_g5817.t1
CPAR2_701500,Cpa_MSK51_g5091.t1,Cpa_MSK2390_g5818.t1
CPAR2_701510,Cpa_MSK51_g5092.t1,Cpa_MSK2390_g5819.t1
CPAR2_701520,Cpa_MSK51_g5093.t1,Cpa_MSK2390_g5820.t1
CPAR2_701530,Cpa_MSK51_g5094.t1,Cpa_MSK2390_g5821.t1
CPAR2_701590,Cpa_MSK51_g5095.t1,Cpa_MSK2390_g5072.t1
CPAR2_701620,Cpa_MSK51_g5096.t1,Cpa_MSK2390_g5073.t1
CPAR2_701630,Cpa_MSK51_g5097.t1,Cpa_MSK2390_g5074.t1
CPAR2_701640,Cpa_MSK51_g5098.t1,Cpa_MSK2390_g5075.t1
CPAR2_701650,Cpa_MSK51_g5099.t1,Cpa_MSK2390_g5076.t1
CPAR2_701660,Cpa_MSK51_g5100.t1,Cpa_MSK2390_g5077.t1
CPAR2_701670,Cpa_MSK51_g5101.t1,Cpa_MSK2390_g5078.t1
CPAR2_701680,Cpa_MSK51_g5102.t1,Cpa_MSK2390_g5079.t1
CPAR2_701690,Cpa_MSK51_g5103.t1,Cpa_MSK2390_g5080.t1
CPAR2_701700,Cpa_MSK51_g5104.t1,Cpa_MSK2390_g5081.t1
CPAR2_701710,Cpa_MSK51_g5105.t1,Cpa_MSK2390_g5082.t1
CPAR2_701720,Cpa_MSK51_g5106.t1,Cpa_MSK2390_g5083.t1
CPAR2_701730,Cpa_MSK51_g5107.t1,Cpa_MSK2390_g5084.t1
CPAR2_701740,Cpa_MSK51_g5108.t1,Cpa_MSK2390_g5085.t1
CPAR2_701750,Cpa_MSK51_g5109.t1,Cpa_MSK2390_g5086.t1
CPAR2_701760,Cpa_MSK51_g5110.t1,Cpa_MSK2390_g5087.t1
CPAR2_701770,Cpa_MSK51_g5111.t1,Cpa_MSK2390_g5088.t1
CPAR2_701780,Cpa_MSK51_g5112.t1,Cpa_MSK2390_g428.t1
CPAR2_701790,Cpa_MSK51_g5113.t1,Cpa_MSK2390_g429.t1
CPAR2_701800,Cpa_MSK51_g5114.t1,Cpa_MSK2390_g431.t1
CPAR2_701810,Cpa_MSK51_g5115.t1,Cpa_MSK2390_g432.t1
CPAR2_701820,Cpa_MSK51_g5116.t1,Cpa_MSK2390_g433.t1
CPAR2_701830,Cpa_MSK51_g5117.t1,Cpa_MSK2390_g434.t1
CPAR2_701840,Cpa_MSK51_g5118.t1,Cpa_MSK2390_g5089.t1
CPAR2_701850,Cpa_MSK51_g5120.t1,Cpa_MSK2390_g5091.t1
CPAR2_701860,Cpa_MSK51_g5121.t1,Cpa_MSK2390_g5092.t1
CPAR2_701870,Cpa_MSK51_g5122.t1,Cpa_MSK2390_g5093.t1
CPAR2_701880,Cpa_MSK51_g5123.t1,Cpa_MSK2390_g5094.t1
CPAR2_701890,Cpa_MSK51_g5124.t1,Cpa_MSK2390_g5095.t1
CPAR2_701900,Cpa_MSK51_g5125.t1,Cpa_MSK2390_g5096.t1
CPAR2_701910,Cpa_MSK51_g5126.t1,Cpa_MSK2390_g5097.t1
CPAR2_701920,Cpa_MSK51_g5127.t1,Cpa_MSK2390_g5098.t1
CPAR2_701930,Cpa_MSK51_g5128.t1,Cpa_MSK2390_g5099.t1
CPAR2_701940,Cpa_MSK51_g5129.t1,Cpa_MSK2390_g5100.t1
CPAR2_701950,Cpa_MSK51_g5131.t1,Cpa_MSK2390_g5102.t1
CPAR2_701960,Cpa_MSK51_g5132.t1,Cpa_MSK2390_g5103.t1
CPAR2_701970,Cpa_MSK51_g5133.t2,Cpa_MSK2390_g5104.t2
CPAR2_701980,Cpa_MSK51_g5134.t1,Cpa_MSK2390_g5105.t1
CPAR2_701990,Cpa_MSK51_g5135.t1,Cpa_MSK2390_g5106.t1
CPAR2_702000,Cpa_MSK51_g5136.t1,Cpa_MSK2390_g5107.t1
CPAR2_702010,,
CPAR2_702020,Cpa_MSK51_g5137.t1,Cpa_MSK2390_g5108.t1
CPAR2_702030,Cpa_MSK51_g5138.t1,Cpa_MSK2390_g5109.t1
CPAR2_702040,Cpa_MSK51_g5139.t1,Cpa_MSK2390_g5110.t1
CPAR2_702050,Cpa_MSK51_g5140.t1,Cpa_MSK2390_g5111.t1
CPAR2_702060,Cpa_MSK51_g5141.t1,Cpa_MSK2390_g5112.t1
CPAR2_702070,Cpa_MSK51_g5142.t2,Cpa_MSK2390_g5113.t2
CPAR2_702080,Cpa_MSK51_g5143.t1,Cpa_MSK2390_g5114.t1
CPAR2_702090,Cpa_MSK51_g5144.t1,Cpa_MSK2390_g5115.t1
CPAR2_702100,Cpa_MSK51_g5145.t1,Cpa_MSK2390_g5116.t1
CPAR2_702110,Cpa_MSK51_g5146.t1,Cpa_MSK2390_g5117.t1
CPAR2_702120,Cpa_MSK51_g5147.t1,Cpa_MSK2390_g5118.t1
CPAR2_702130,Cpa_MSK51_g5148.t1,Cpa_MSK2390_g5119.t1
CPAR2_702140,Cpa_MSK51_g5149.t1,Cpa_MSK2390_g5120.t1
CPAR2_702150,Cpa_MSK51_g5150.t1,Cpa_MSK2390_g5121.t1
CPAR2_702160,Cpa_MSK51_g5151.t1,Cpa_MSK2390_g5122.t1
CPAR2_702170,Cpa_MSK51_g5152.t1,Cpa_MSK2390_g5123.t1
CPAR2_702180,,
CPAR2_702190,Cpa_MSK51_g5153.t1,Cpa_MSK2390_g5124.t1
CPAR2_702200,Cpa_MSK51_g5154.t1,Cpa_MSK2390_g5125.t1
CPAR2_702210,Cpa_MSK51_g5155.t1,Cpa_MSK2390_g5126.t1
CPAR2_702220,Cpa_MSK51_g5156.t1,Cpa_MSK2390_g5127.t1
CPAR2_702230,Cpa_MSK51_g5157.t1,Cpa_MSK2390_g5128.t1
CPAR2_702240,Cpa_MSK51_g5158.t1,Cpa_MSK2390_g5129.t1
