PanGemGeneID,QueryGeneID
CPAR2_700010,XP_036668157
CPAR2_700020,XP_036668158
CPAR2_700030,XP_036668159
CPAR2_700040,XP_036668160
CPAR2_700050,XP_036668161
CPAR2_700060,XP_036668162
CPAR2_700070,XP_036668163
CPAR2_700080,XP_036668164
CPAR2_700090,XP_036668165
CPAR2_700100,XP_036668166
CPAR2_700110,XP_036668167
CPAR2_700120,XP_036668168
CPAR2_700130,XP_036668169
CPAR2_700140,XP_036668170
CPAR2_700150,XP_036668171
CPAR2_700160,XP_036668172
CPAR2_700170,XP_036668173
CPAR2_700180,XP_036668174
CPAR2_700190,XP_036668175
CPAR2_700200,XP_036668176
CPAR2_700210,XP_036668177
CPAR2_700220,XP_036668178
CPAR2_700230,XP_036668179
CPAR2_700240,XP_036668180
CPAR2_700250,XP_036668181
CPAR2_700260,XP_036668182
CPAR2_700270,XP_036668183
CPAR2_700280,XP_036668184
CPAR2_700290,XP_036668185
CPAR2_700300,XP_036668186
CPAR2_700310,XP_036668187
CPAR2_700320,XP_036668188
CPAR2_700330,XP_036668189
CPAR2_700340,XP_036668190
CPAR2_700350,XP_036668191
CPAR2_700360,XP_036668192
CPAR2_700370,XP_036668193
CPAR2_700380,XP_036668194
CPAR2_700390,XP_036668195
CPAR2_700400,XP_036668196
CPAR2_700410,XP_036668197
CPAR2_700420,XP_036668198
CPAR2_700430,XP_036668199
CPAR2_700440,XP_036668200
CPAR2_700450,XP_036668201
CPAR2_700460,XP_036668202
CPAR2_700470,XP_036668203
CPAR2_700480,XP_036668204
CPAR2_700490,XP_036668205
CPAR2_700500,XP_036668206
CPAR2_700510,XP_036668207
CPAR2_700520,XP_036668208
CPAR2_700530,XP_036668209
CPAR2_700540,XP_036668210
CPAR2_700550,XP_036668211
CPAR2_700560,XP_036668212
CPAR2_700570,XP_036668213
CPAR2_700580,XP_036668214
CPAR2_700590,XP_036668215
CPAR2_700600,XP_036668216
CPAR2_700610,XP_036668217
CPAR2_700620,XP_036668218
CPAR2_700630,XP_036668219
CPAR2_700640,XP_036668220
CPAR2_700650,XP_036668221
CPAR2_700660,XP_036668222
CPAR2_700670,XP_036668223
CPAR2_700680,XP_036668224
CPAR2_700690,XP_036668225
CPAR2_700700,XP_036668226
CPAR2_700710,XP_036668227
CPAR2_700720,XP_036668228
CPAR2_700730,XP_036668229
CPAR2_700740,XP_036668230
CPAR2_700750,XP_036668231
CPAR2_700760,XP_036668232
CPAR2_700770,XP_036668233
CPAR2_700780,XP_036668234
CPAR2_700790,XP_036668235
CPAR2_700800,XP_036668236
CPAR2_700810,XP_036668237
CPAR2_700820,XP_036668238
CPAR2_700830,XP_036668239
CPAR2_700840,XP_036668240
CPAR2_700850,XP_036668241
CPAR2_700860,XP_036668242
CPAR2_700870,XP_036668243
CPAR2_700880,XP_036668244
CPAR2_700890,XP_036668245
CPAR2_700900,XP_036668246
CPAR2_700910,XP_036668247
CPAR2_700920,XP_036668248
CPAR2_700930,XP_036668249
CPAR2_700940,XP_036668250
CPAR2_700950,XP_036668251
CPAR2_700960,XP_036668252
CPAR2_700970,XP_036668253
CPAR2_700980,XP_036668254
CPAR2_700990,XP_036668255
CPAR2_701000,XP_036668256
CPAR2_701010,XP_036668257
CPAR2_701020,XP_036668258
CPAR2_701030,XP_036668259
CPAR2_701040,XP_036668260
CPAR2_701050,XP_036668261
CPAR2_701060,XP_036668262
CPAR2_701070,XP_036668263
CPAR2_701080,XP_036668264
CPAR2_701090,XP_036668265
CPAR2_701100,XP_036668266
CPAR2_701110,XP_036668267
CPAR2_701120,XP_036668268
CPAR2_701130,XP_036668269
CPAR2_701140,XP_036668270
CPAR2_701150,XP_036668271
CPAR2_701160,XP_036668272
CPAR2_701170,XP_036668273
CPAR2_701180,XP_036668274
CPAR2_701190,XP_036668275
CPAR2_701200,XP_036668276
CPAR2_701210,XP_036668277
CPAR2_701220,XP_036668278
CPAR2_701230,XP_036668279
CPAR2_701240,XP_036668280
CPAR2_701250,XP_036668281
CPAR2_701260,XP_036668282
CPAR2_701270,XP_036668283
CPAR2_701280,XP_036668284
CPAR2_701290,XP_036668285
CPAR2_701300,XP_036668286
CPAR2_701310,XP_036668287
CPAR2_701320,XP_036668288
CPAR2_701330,XP_036668289
CPAR2_701340,XP_036668290
CPAR2_701350,XP_036668291
CPAR2_701360,XP_036668292
CPAR2_701370,XP_036668293
CPAR2_701380,XP_036668294
CPAR2_701390,XP_036668295
CPAR2_701400,XP_036668296
CPAR2_701410,XP_036668297
CPAR2_701420,XP_036668298
CPAR2_701430,XP_036668299
CPAR2_701440,XP_036668300
CPAR2_701460,XP_036668301
CPAR2_701470,XP_036668302
CPAR2_701480,XP_036668303
CPAR2_701490,XP_036668304
CPAR2_701500,XP_036668305
CPAR2_701510,XP_036668306
CPAR2_701520,XP_036668307
CPAR2_701530,XP_036668308
CPAR2_701590,XP_036668309
CPAR2_701620,XP_036668310
CPAR2_701630,XP_036668311
CPAR2_701640,XP_036668312
CPAR2_701650,XP_036668313
CPAR2_701660,XP_036668314
CPAR2_701670,XP_036668315
CPAR2_701680,XP_036668316
CPAR2_701690,XP_036668317
CPAR2_701700,XP_036668318
CPAR2_701710,XP_036668319
CPAR2_701720,XP_036668320
CPAR2_701730,XP_036668321
CPAR2_701740,XP_036668322
CPAR2_701750,XP_036668323
CPAR2_701760,XP_036668324
CPAR2_701770,XP_036668325
CPAR2_701780,XP_036668326
CPAR2_701790,XP_036668327
CPAR2_701800,XP_036668328
CPAR2_701810,XP_036668329
CPAR2_701820,XP_036668330
CPAR2_701830,XP_036668331
CPAR2_701840,XP_036668332
CPAR2_701850,XP_036668333
CPAR2_701860,XP_036668334
CPAR2_701870,XP_036668335
CPAR2_701880,XP_036668336
CPAR2_701890,XP_036668337
CPAR2_701900,XP_036668338
CPAR2_701910,XP_036668339
CPAR2_701920,XP_036668340
CPAR2_701930,XP_036668341
CPAR2_701940,XP_036668342
CPAR2_701950,XP_036668343
CPAR2_701960,XP_036668344
CPAR2_701970,XP_036668345
CPAR2_701980,XP_036668346
CPAR2_701990,XP_036668347
CPAR2_702000,XP_036668348
CPAR2_702010,XP_036668349
CPAR2_702020,XP_036668350
CPAR2_702030,XP_036668351
CPAR2_702040,XP_036668352
CPAR2_702050,XP_036668353
CPAR2_702060,XP_036668354
CPAR2_702070,XP_036668355
CPAR2_702080,XP_036668356
CPAR2_702090,XP_036668357
CPAR2_702100,XP_036668358
CPAR2_702110,XP_036668359
CPAR2_702120,XP_036668360
CPAR2_702130,XP_036668361
CPAR2_702140,XP_036668362
CPAR2_702150,XP_036668363
CPAR2_702160,XP_036668364
CPAR2_702170,XP_036668365
CPAR2_702180,XP_036668366
CPAR2_702190,XP_036668367
CPAR2_702200,XP_036668368
CPAR2_702210,XP_036668369
CPAR2_702220,XP_036668370
CPAR2_702230,XP_036668371
CPAR2_702240,XP_036668372
CPAR2_702250,XP_036668373
CPAR2_702260,XP_036668374
CPAR2_702280,XP_036668375
CPAR2_702290,XP_036668376
CPAR2_702300,XP_036668377
CPAR2_702310,XP_036668378
CPAR2_702320,XP_036668379
CPAR2_702330,XP_036668380
CPAR2_702340,XP_036668381
CPAR2_702350,XP_036668382
CPAR2_702360,XP_036668383
CPAR2_702370,XP_036668384
CPAR2_702380,XP_036668385
CPAR2_702390,XP_036668386
CPAR2_702400,XP_036668387
CPAR2_702410,XP_036668388
CPAR2_702420,XP_036668389
CPAR2_702430,XP_036668390
CPAR2_702440,XP_036668391
CPAR2_702450,XP_036668392
CPAR2_702460,XP_036668393
CPAR2_702470,XP_036668394
CPAR2_702480,XP_036668395
CPAR2_702490,XP_036668396
CPAR2_702500,XP_036668397
CPAR2_702510,XP_036668398
CPAR2_702520,XP_036668399
CPAR2_702530,XP_036668400
CPAR2_702540,XP_036668401
CPAR2_702550,XP_036668402
CPAR2_702560,XP_036668403
CPAR2_702570,XP_036668404
CPAR2_702580,XP_036668405
CPAR2_702590,XP_036668406
CPAR2_702600,XP_036668407
CPAR2_702610,XP_036668408
CPAR2_702620,XP_036668409
CPAR2_702630,XP_036668410
CPAR2_702640,XP_036668411
CPAR2_702650,XP_036668412
CPAR2_702670,XP_036668413
CPAR2_702680,XP_036668414
CPAR2_702690,XP_036668415
CPAR2_702700,XP_036668416
CPAR2_702710,XP_036668417
CPAR2_702720,XP_036668418
CPAR2_702730,XP_036668419
CPAR2_702740,XP_036668420
CPAR2_702750,XP_036668421
CPAR2_702760,XP_036668422
CPAR2_702770,XP_036668423
CPAR2_702780,XP_036668424
CPAR2_702790,XP_036668425
CPAR2_702800,XP_036668426
CPAR2_702810,XP_036668427
CPAR2_702820,XP_036668428
CPAR2_702830,XP_036668429
CPAR2_702840,XP_036668430
CPAR2_702850,XP_036668431
CPAR2_702860,XP_036668432
CPAR2_702870,XP_036668433
CPAR2_702880,XP_036668434
CPAR2_702890,XP_036668435
CPAR2_702900,XP_036668436
CPAR2_702910,XP_036668437
CPAR2_702920,XP_036668438
CPAR2_702930,XP_036668439
CPAR2_702940,XP_036668440
CPAR2_702950,XP_036668441
CPAR2_702960,XP_036668442
CPAR2_702970,XP_036668443
CPAR2_702980,XP_036668444
CPAR2_702990,XP_036668445
CPAR2_703000,XP_036668446
CPAR2_703010,XP_036668447
CPAR2_703020,XP_036668448
CPAR2_703030,XP_036668449
CPAR2_703040,XP_036668450
CPAR2_703050,XP_036668451
CPAR2_703060,XP_036668452
CPAR2_703070,XP_036668453
CPAR2_703080,XP_036668454
CPAR2_703090,XP_036668455
CPAR2_703100,XP_036668456
CPAR2_703110,XP_036668457
CPAR2_703120,XP_036668458
CPAR2_703130,XP_036668459
CPAR2_703140,XP_036668460
CPAR2_703150,XP_036668461
CPAR2_703160,XP_036668462
CPAR2_703170,XP_036668463
CPAR2_703180,XP_036668464
CPAR2_703190,XP_036668465
CPAR2_703200,XP_036668466
CPAR2_703210,XP_036668467
CPAR2_703220,XP_036668468
CPAR2_703230,XP_036668469
CPAR2_703240,XP_036668470
CPAR2_703250,XP_036668471
CPAR2_703260,XP_036668472
CPAR2_703270,XP_036668473
CPAR2_703280,XP_036668474
CPAR2_703290,XP_036668475
CPAR2_703300,XP_036668476
CPAR2_703310,XP_036668477
CPAR2_703320,XP_036668478
CPAR2_703330,XP_036668479
CPAR2_703340,XP_036668480
CPAR2_703350,XP_036668481
CPAR2_703360,XP_036668482
CPAR2_703370,XP_036668483
CPAR2_703380,XP_036668484
CPAR2_703390,XP_036668485
CPAR2_703400,XP_036668486
CPAR2_703410,XP_036668487
CPAR2_703420,XP_036668488
CPAR2_703430,XP_036668489
CPAR2_703440,XP_036668490
CPAR2_703450,XP_036668491
CPAR2_703460,XP_036668492
CPAR2_703470,XP_036668493
CPAR2_703480,XP_036668494
CPAR2_703490,XP_036668495
CPAR2_703500,XP_036668496
CPAR2_703510,XP_036668497
CPAR2_703520,XP_036668498
CPAR2_703530,XP_036668499
CPAR2_703540,XP_036668500
CPAR2_703550,XP_036668501
CPAR2_703560,XP_036668502
CPAR2_703570,XP_036668503
CPAR2_703580,XP_036668504
CPAR2_703590,XP_036668505
CPAR2_703600,XP_036668506
CPAR2_703610,XP_036668507
CPAR2_703620,XP_036668508
CPAR2_703630,XP_036668509
CPAR2_703640,XP_036668510
CPAR2_703650,XP_036668511
CPAR2_703660,XP_036668512
CPAR2_703670,XP_036668513
CPAR2_703680,XP_036668514
CPAR2_703690,XP_036668515
CPAR2_703700,XP_036668516
CPAR2_703710,XP_036668517
CPAR2_703720,XP_036668518
CPAR2_703730,XP_036668519
CPAR2_703740,XP_036668520
CPAR2_703750,XP_036668521
CPAR2_703760,XP_036668522
CPAR2_703770,XP_036668523
CPAR2_703780,XP_036668524
CPAR2_703790,XP_036668525
CPAR2_703800,XP_036668526
CPAR2_703810,XP_036668527
CPAR2_703820,XP_036668528
CPAR2_703830,XP_036668529
CPAR2_703840,XP_036668530
CPAR2_703850,XP_036668531
CPAR2_703860,XP_036668532
CPAR2_703870,XP_036668533
CPAR2_703880,XP_036668534
CPAR2_703890,XP_036668535
CPAR2_703900,XP_036668536
CPAR2_703910,XP_036668537
CPAR2_703920,XP_036668538
CPAR2_703930,XP_036668539
CPAR2_703940,XP_036668540
CPAR2_703950,XP_036668541
CPAR2_703960,XP_036668542
CPAR2_703970,XP_036668543
CPAR2_703980,XP_036668544
CPAR2_704000,XP_036668545
CPAR2_704010,XP_036668546
CPAR2_704020,XP_036668547
CPAR2_704030,XP_036668548
CPAR2_704040,XP_036668549
CPAR2_704050,XP_036668550
CPAR2_704060,XP_036668551
CPAR2_704070,XP_036668552
CPAR2_704080,XP_036668553
CPAR2_704090,XP_036668554
CPAR2_704100,XP_036668555
CPAR2_704110,XP_036668556
CPAR2_704120,XP_036668557
CPAR2_704130,XP_036668558
CPAR2_704140,XP_036668559
CPAR2_704150,XP_036668560
CPAR2_704160,XP_036668561
CPAR2_704170,XP_036668562
CPAR2_704180,XP_036668563
CPAR2_704190,XP_036668564
CPAR2_704200,XP_036668565
CPAR2_704210,XP_036668566
CPAR2_704220,XP_036668567
CPAR2_704230,XP_036668568
CPAR2_704240,XP_036668569
CPAR2_704250,XP_036668570
CPAR2_704260,XP_036668571
CPAR2_704270,XP_036668572
CPAR2_704280,XP_036668573
CPAR2_704290,XP_036668574
CPAR2_704300,XP_036668575
CPAR2_704310,XP_036668576
CPAR2_704320,XP_036668577
CPAR2_704330,XP_036668578
CPAR2_704340,XP_036668579
